#city;country;lat;lng;pop
El Maiten;Argentina;-42.05;-71.1666;4269
Makinsk;Kazakhstan;52.6404;70.41;20365
Magdeburg;Germany;52.1304;11.62;227378
Allahabad;India;25.455;81.84;1137219
Brazzaville;Congo (Brazzaville);-4.25919;15.2847;1259445
Haikou;China;20.05;110.32;1606808
Abra Pampa;Argentina;-22.7167;-65.7;4480
Ussuriysk;Russia;43.8;132.02;140673
Moradabad;India;28.8418;78.7568;754069
Londonderry;United Kingdom;55.0004;-7.33328;82635
Koszalin;Poland;54.2;16.1833;107450
Phnom Penh;Cambodia;11.55;104.917;1466000
Phatthalung;Thailand;7.615;100.081;43522
Dili;East Timor;-8.55939;125.579;213947
Novyy Port;Russia;67.6983;72.9283;1790
Pilibhit;India;28.64;79.81;131008
Dayr az Zawr;Syria;35.3304;40.13;275853
Kilkenny;Ireland;52.6545;-7.25226;21401
Rize;Turkey;41.0208;40.5219;187976
Wuppertal;Germany;51.25;7.16999;562997
Winton;Australia;-22.3996;143.033;1157
Santo Domingo;Dominican Republic;18.4701;-69.9001;1078436
Ivano-Frankivsk;Ukraine;48.9347;24.7094;222719
Hachinohe;Japan;40.51;141.54;225575
Xilinhot;China;43.9443;116.044;116156
Makhachkala;Russia;42.98;47.5;526470
Londrina;Brazil;-23.3;-51.18;496035
Corvallis;United States of America;44.5724;-123.28;54865
Bac Lieu;Vietnam;9.28038;105.72;187500
Sholapur;India;17.6704;75.9;1009056
Mandritsara;Madagascar;-15.8328;48.8166;9705
Pago Pago;American Samoa;-14.2766;-170.707;12038
Suileng;China;47.246;127.106;57456
Hechi;China;23.0965;109.609;3275189
Badajoz;Spain;38.8804;-6.96997;115638
Baruun Urt;Mongolia;46.7;113.283;15805
Erymentau;Kazakhstan;51.6303;73.1049;19655
Bandar Seri Begawan;Brunei;4.88333;114.933;218250
Grudziadz;Poland;53.4804;18.75;100964
Neijiang;China;29.5804;105.05;1006427
Retalhuleu;Guatemala;14.5371;-91.677;36656
Isiro;Congo (Kinshasa);2.75997;27.62;142136
Indramayu;Indonesia;-6.33565;108.319;123263
Peterborough;Canada;44.3;-78.3333;79752
