'Ataq;Yemen;14.55;46.8;37315
's-Hertogenbosch;Netherlands;51.6833;5.31666;134520
25 de Mayo;Argentina;-37.8;-67.6833;17430
28 de Noviembre;Argentina;-51.65;-72.3;5300
Aalborg;Denmark;57.0337;9.91659;111917
Aarau;Switzerland;47.39;8.034;15501
Aarhus;Denmark;56.1572;10.2107;232325
Aba;Nigeria;5.1004;7.34998;874385
Abadan;Iran;30.3307;48.2797;315129
Abadla;Algeria;31.0171;-2.73331;14364
Abaetetuba;Brazil;-1.72453;-48.8849;78735
Abai;Paraguay;-26.0296;-55.94;2788
Abakan;Russia;53.7037;91.445;161377
Abancay;Peru;-13.6396;-72.89;53981
Abau;Papua New Guinea;-10.0426;148.565;230
Abaza;Russia;52.669;90.0954;17638
Abbotsford;Canada;49.0504;-122.3;151683
Abbottabad;Pakistan;34.1495;73.1995;1032323
Abeche;Chad;13.84;20.83;116252
Abengourou;Ivory Coast;6.73038;-3.49;87809
Abeokuta;Nigeria;7.16043;3.35002;441231
Aberdeen;United Kingdom;57.1704;-2.07999;186577
Aberdeen;United States of America;46.9749;-123.814;24400
Abha;Saudi Arabia;18.2301;42.5001;207802
Abidjan;Ivory Coast;5.32;-4.04005;3496197
Abilene;United States of America;32.4486;-99.7328;108008
Aboa Station;Antarctica;-75.0496;-13.4167;15
Abohar;India;30.1204;74.29;130603
Aboisso;Ivory Coast;5.4667;-3.2;37654
Abomey;Benin;7.1904;1.99;82154
Abong Mbang;Cameroon;3.9837;13.1833;7698
Abra Pampa;Argentina;-22.7167;-65.7;4480
Abu Dhabi;United Arab Emirates;24.4667;54.3666;581861
Abu Kamal;Syria;34.4504;40.9186;69190
Abuja;Nigeria;9.08333;7.53333;869067
Abuna;Brazil;-9.69539;-65.3597;1929
Acapulco;Mexico;16.85;-99.916;683860
Acarau;Brazil;-2.88961;-40.12;21024
Acarigua;Venezuela;9.58038;-69.2;202312
Acatlan;Mexico;18.2;-98.05;17585
Accra;Ghana;5.55003;-0.216716;2042132
Achacachi;Bolivia;-16.0833;-68.6666;8447
Achinsk;Russia;56.27;90.5;112541
