Andkhvoy;Afghanistan;36.9317;65.1015;50469
Asadabad;Afghanistan;34.866;71.15;48400
Aybak;Afghanistan;36.261;68.04;24000
Baghlan;Afghanistan;36.1393;68.6993;163598
Balkh;Afghanistan;36.7501;66.8997;147426
Bamian;Afghanistan;34.8211;67.521;61863
Baraki Barak;Afghanistan;33.9667;68.9667;22305
Chaghcharan;Afghanistan;34.5167;65.25;15000
Charikar;Afghanistan;35.0183;69.1679;53676
Farah;Afghanistan;32.3917;62.0968;58604
Feyzabad;Afghanistan;37.1298;70.5792;52490
Gardiz;Afghanistan;33.6001;69.2146;82680
Ghazni;Afghanistan;33.5633;68.4178;129892
Herat;Afghanistan;34.33;62.17;439232
Jalalabad;Afghanistan;34.4415;70.4361;401697
Kabul;Afghanistan;34.5167;69.1833;3160266
Kandahar;Afghanistan;31.61;65.6949;613871
Karokh;Afghanistan;34.4868;62.5918;14388
Kondoz;Afghanistan;36.728;68.8725;210855
Lashkar Gah;Afghanistan;31.583;64.36;201546
Mahmud-E Eraqi;Afghanistan;35.0167;69.3333;7407
Mayda Shahr;Afghanistan;34.45;68.8;35008
Mazar-e Sharif;Afghanistan;36.7;67.1;365432
Mehtar Lam;Afghanistan;34.65;70.1667;17345
Meymaneh;Afghanistan;35.9302;64.7701;199795
Pol-e Khomri;Afghanistan;35.9511;68.7011;41029
Qal eh-ye;Afghanistan;34.983;63.1333;2997
Qalat;Afghanistan;32.1123;66.8868;12191
Sheberghan;Afghanistan;36.658;65.7383;74441
Taloqan;Afghanistan;36.73;69.54;64256
Tarin Kowt;Afghanistan;32.6333;65.8667;10000
Zaranj;Afghanistan;31.112;61.887;49851
Zareh Sharan;Afghanistan;32.85;68.4167;13737
Mariehamn;Aland;60.097;19.949;10682
Bajram Curri;Albania;42.3333;20.0833;7967
Berat;Albania;40.71;19.972;46866
Burrel;Albania;41.626;20.016;15405
Corovode;Albania;40.5167;20.2333;14046
Durres;Albania;41.3178;19.4482;132233
Elbasan;Albania;41.1215;20.0838;132956
Erseke;Albania;40.3333;20.6833;7890
Fier;Albania;40.73;19.573;69747
Gjirokaster;Albania;40.079;20.149;23437
Gramsh;Albania;40.8667;20.2;11556
Korce;Albania;40.6167;20.7667;58259
Kruje;Albania;41.519;19.797;21286
Kukes;Albania;42.083;20.434;17832
Lezhe;Albania;41.788;19.654;18695
Librazhd;Albania;41.2;20.3667;12691
Lushnje;Albania;40.94;19.716;41469
Permet;Albania;40.234;20.352;10686
Peshkopi;Albania;41.6833;20.4333;14848
Pogradec;Albania;40.9;20.664;35000
Puke;Albania;42.0333;19.8833;6495
Rreshen;Albania;41.7833;19.8167;10064
Sarande;Albania;39.877;20;15147
Shkoder;Albania;42.0685;19.5189;122006
Tepelene;Albania;40.2833;20.0333;11955
Tirana;Albania;41.3275;19.8189;658318
Vlore;Albania;40.4774;19.4982;89508
Abadla;Algeria;31.0171;-2.73331;14364
Adrar;Algeria;27.87;-0.289967;56910
Algiers;Algeria;36.7631;3.05055;2665831
Annaba;Algeria;36.92;7.75998;355047
Arak;Algeria;25.28;3.74999;423251
Batna;Algeria;35.57;6.17;269467
Bechar;Algeria;31.6111;-2.23;142415
Bejaia;Algeria;36.7604;5.07002;274520
Beni Ounif;Algeria;32.0493;-1.25138;5628
Biskra;Algeria;34.86;5.73003;202103
Blida;Algeria;36.4203;2.83;388174
Bordj Bou Arreridj;Algeria;36.059;4.63;134500
Bouira;Algeria;36.3805;3.90001;110144
Chlef;Algeria;36.1704;1.31996;449167
Constantine;Algeria;36.36;6.59995;527638
Djanet;Algeria;24.5529;9.48225;666
Djelfa;Algeria;34.68;3.25002;170901
El Bayadh;Algeria;33.6904;1.00995;67413
El Golea;Algeria;30.5666;2.88333;32049
El Oued;Algeria;33.3704;6.85998;177497
Ghardaia;Algeria;32.49;3.67;125480
Guelma;Algeria;36.466;7.428;123590
Hassi Messaoud;Algeria;31.7023;6.05445;18124
I-n-Amenas;Algeria;28.0503;9.55;216
I-n-Salah;Algeria;27.2166;2.46661;28632
Illizi;Algeria;26.4834;8.4666;7293
In Amguel;Algeria;23.6939;5.16474;3030
Jijel;Algeria;36.822;5.766;148000
Laghouat;Algeria;33.81;2.88002;108279
M'sila;Algeria;35.7;4.545;125000
Mascara;Algeria;35.4004;0.140033;108230
Medea;Algeria;36.2704;2.77;145863
Mostaganem;Algeria;35.9404;0.0899839;159177
Oran;Algeria;35.71;-0.619973;721992
Ouargla;Algeria;31.97;5.34002;176271
Oum el Bouaghi;Algeria;35.85;7.15;100821
Reggane;Algeria;26.7;0.166646;22351
Saida;Algeria;34.8404;0.140033;134855
Sefra;Algeria;32.7604;-0.579949;51118
Setif;Algeria;36.18;5.39997;274744
Sidi bel Abbes;Algeria;35.1903;-0.639972;200186
Skikda;Algeria;36.8804;6.89998;193941
Souk Ahras;Algeria;36.2904;7.95;134947
Tamanrasset;Algeria;22.785;5.5228;71808
Tebessa;Algeria;35.4104;8.12001;171742
Tiarat;Algeria;35.3804;1.31996;184195
Timimoun;Algeria;29.2365;0.269999;26568
Tindouf;Algeria;27.6742;-8.14778;18270
Tizi-Ouzou;Algeria;36.8;4.03333;144000
Tlimcen;Algeria;34.8904;-1.32001;181059
Touggourt;Algeria;33.1;6.05998;91499
Pago Pago;American Samoa;-14.2766;-170.707;12038
Andorra;Andorra;42.5;1.51649;38127
Ambriz;Angola;-7.85499;13.125;17000
Benguela;Angola;-12.5783;13.4072;142017
Cabinda;Angola;-5.55962;12.19;78905
Cacolo;Angola;-10.1496;19.26;984
Calucinga;Angola;-11.3196;16.2;531
Calulo;Angola;-9.99961;14.9;795
Camabatela;Angola;-8.18959;15.37;12731
Camacupa;Angola;-12.0196;17.47;19489
Cangamba;Angola;-13.6996;19.86;1307
Capenda-Camulemba;Angola;-9.41959;18.43;79842
Caxito;Angola;-8.57954;13.66;15665
Cazombo;Angola;-11.8896;22.9;298
Chibemba;Angola;-15.7496;14.08;1502
Chibia;Angola;-15.1896;13.69;1411
Chitado;Angola;-17.3196;13.92;468
Cubal;Angola;-13.0396;14.24;4837
Cuito Caunavale;Angola;-15.1596;19.17;149
Dondo;Angola;-9.69002;14.43;2353
Dundo;Angola;-7.38003;20.83;11985
Huambo;Angola;-12.75;15.76;986000
Kuito;Angola;-12.38;16.94;113955
Lobito;Angola;-12.37;13.5412;170733
Luanda;Angola;-8.83829;13.2344;3562086
Luau;Angola;-10.7095;22.23;9964
Lubango;Angola;-14.91;13.49;114086
Lucapa;Angola;-8.4196;20.74;25578
Luena;Angola;-11.79;19.9;17276
Luiana;Angola;-17.3695;23;150
Lumbala Nguimbo;Angola;-14.0996;21.44;25
Malanje;Angola;-9.54;16.34;106451
Mavinga;Angola;-15.7895;20.36;30000
Mbanza-Congo;Angola;-6.26961;14.24;42201
Menongue;Angola;-14.6666;17.7;13030
Muconda;Angola;-10.5996;21.32;2324
Mucusso;Angola;-18.0195;21.43;100
Namibe;Angola;-15.19;12.16;128130
Ndalatando;Angola;-9.29955;14.91;8144
Nzeto;Angola;-7.2296;12.86;19705
Ondjiva;Angola;-17.0696;15.73;8748
Quibala;Angola;-10.7296;14.98;5248
Quipungo;Angola;-14.8295;14.55;186
Saurimo;Angola;-9.65958;20.39;40907
Songo;Angola;-7.34959;14.85;10579
Soyo;Angola;-6.12961;12.37;65329
Sumbe;Angola;-11.21;13.85;29638
Tombua;Angola;-15.8;11.86;40000
Uige;Angola;-7.62001;15.05;56787
Waku Kungo;Angola;-11.3595;15.12;11519
Xangongo;Angola;-16.74;14.97;447
Aboa Station;Antarctica;-75.0496;-13.4167;15
Amundsen–Scott South Pole Station;Antarctica;-89.9829;139.267;125
Artigas Base;Antarctica;-62.1739;-58.8639;34
Capitan Arturo Prat Station;Antarctica;-62.4995;-59.6833;41
Casey Station;Antarctica;-66.2861;110.536;125
Concordia Research Station;Antarctica;-74.6663;124.167;15
Davis Station;Antarctica;-68.7777;78.1407;45
Doctor Sobral;Antarctica;-81.1791;-40.5015;20
Dumont d'Urville Station;Antarctica;-66.775;139.964;75
Elephant Island. South Shetland Islands;Antarctica;-61.9996;-58;3
Escudero Station;Antarctica;-62.195;-58.9527;20
Esperanza Station;Antarctica;-63.3753;-57.0259;152
General Belgrano Station;Antarctica;-77.8663;-34.6167;57
General Bernado O'Higgins Station;Antarctica;-63.3284;-57.8896;30
Great Wall Station;Antarctica;-62.2163;-58.9667;26
Halley Station;Antarctica;-76.0923;-26.4742;43
King Sejong Station;Antarctica;-62.2249;-58.7716;53
Maitri Station;Antarctica;-70.7822;11.7305;33
Mawson Station;Antarctica;-67.6145;62.875;40
McMurdo Station;Antarctica;-77.7323;166.869;600
Mirny Station;Antarctica;-66.5755;93.0063;114
Neumayer;Antarctica;-70.8904;-7.83844;40
Novolazarevskaya Station;Antarctica;-71.3012;-11.8502;35
Orcadas Station;Antarctica;-60.7329;-44.7333;29
Palmer Station;Antarctica;-64.7624;-64.0469;30
Peter I Island;Antarctica;-68.8329;90.5;0
Rothera Station;Antarctica;-67.5648;-68.1235;76
San Martín Station;Antarctica;-68.1163;-67.1;19
Scott Base;Antarctica;-77.8469;166.749;49
Showa Station;Antarctica;-69.0304;39.7461;50
Signy Island;Antarctica;-60.6313;-45.6007;4
Svea Station;Antarctica;-74.5829;-11.2167;5
Teniente Jubany Station;Antarctica;-62.2241;-58.6505;40
Teniente Rodolfo Marsh Station;Antarctica;-62.1827;-58.9077;115
Terra Nova Bay;Antarctica;-74.6192;164.219;60
Troll Station;Antarctica;-72.0163;2.53332;25
Vicecomodoro Marambio Station;Antarctica;-64.2329;-56.65;102
Vostok;Antarctica;-78.4663;106.8;19
Wasa Station;Antarctica;-73.0496;-13.4167;5
Zhongshan Station;Antarctica;-69.4341;76.3393;42
Saint John's;Antigua and Barbuda;17.118;-61.85;29862
25 de Mayo;Argentina;-37.8;-67.6833;17430
28 de Noviembre;Argentina;-51.65;-72.3;5300
Abra Pampa;Argentina;-22.7167;-65.7;4480
Alta Gracia;Argentina;-31.66;-64.43;30593
Alto Rio Sanguer;Argentina;-45.0333;-70.8333;1548
Anatuya;Argentina;-28.4661;-62.8333;14133
Azul;Argentina;-36.7796;-59.87;43407
Bahia Blanca;Argentina;-38.74;-62.265;279041
Balcarce;Argentina;-37.8333;-58.25;18967
Belen;Argentina;-27.6496;-67.0333;11359
Bell Ville;Argentina;-32.6;-62.68;29605
Buenos Aires;Argentina;-34.6025;-58.3975;11862073
Cafayate;Argentina;-26.0829;-65.9666;9478
Campana;Argentina;-34.16;-58.96;77149
Carhue;Argentina;-37.1829;-62.7333;7190
Catamarca;Argentina;-28.47;-65.78;162586
Cerrillos;Argentina;-24.8996;-65.4833;11498
Chacabuco;Argentina;-34.65;-60.49;26645
Chamical;Argentina;-30.3496;-66.3167;8989
Charata;Argentina;-27.2163;-61.2;18297
Chascomus;Argentina;-35.5662;-58.0166;21054
Chepes;Argentina;-31.35;-66.6;6020
Chilecito;Argentina;-29.1655;-67.5;20343
Chivilcoy;Argentina;-34.9;-60.04;43719
Choele Choel;Argentina;-39.2666;-65.6833;9895
Chos Malal;Argentina;-37.383;-70.2666;8556
Chumbicha;Argentina;-28.8666;-66.2333;2572
Comallo;Argentina;-41.0333;-70.2666;741
Comandante Fontana;Argentina;-25.3333;-59.6833;4277
Comodoro Rivadavia;Argentina;-45.87;-67.5;123291
Comondante Luis Piedrabuena;Argentina;-49.9745;-68.9035;410
Concepcion del Uruguay;Argentina;-32.48;-58.24;48275
Concordia;Argentina;-31.3896;-58.03;132760
Cordoba;Argentina;-31.4;-64.1823;1374467
Coronel Suarez;Argentina;-37.4666;-61.9166;20713
Corrientes;Argentina;-27.49;-58.81;339945
Cutral Co;Argentina;-38.94;-69.24;47597
Darregueira;Argentina;-37.6996;-63.1666;3412
Doctor Pedro P. Pena;Argentina;-22.48;-62.3;6143
Dolores;Argentina;-36.33;-57.69;21586
El Calafate;Argentina;-50.3333;-72.3;6329
El Maiten;Argentina;-42.05;-71.1666;4269
Eldorado;Argentina;-26.2;-54.6;17365
Esquel;Argentina;-42.9;-71.3166;20048
Formosa;Argentina;-26.1728;-58.1828;202272
Frias;Argentina;-28.6496;-65.15;13594
Gastre;Argentina;-42.283;-69.2333;557
General Conesa;Argentina;-40.1;-64.4333;2958
General Guemes;Argentina;-24.6666;-65.05;19828
General Pico;Argentina;-35.6596;-63.77;46483
General Roca;Argentina;-39.02;-67.61;38578
Gobernador Gregores;Argentina;-48.7666;-70.25;2519
Goya;Argentina;-29.14;-59.27;71274
Gualeguay;Argentina;-33.15;-59.34;25913
Gualeguaychu;Argentina;-33.02;-58.52;55860
Humahuaca;Argentina;-23.2;-65.35;11369
Ingeniero Guillermo N. Juarez;Argentina;-23.9;-61.85;6453
Ingeniero Jacobacci;Argentina;-41.3;-69.5833;5719
Joaquin V. Gonzalez;Argentina;-25.0833;-64.1834;13376
Juan Jose Castelli;Argentina;-25.9495;-60.6166;9421
Juarez;Argentina;-37.6655;-59.8;10609
Junin;Argentina;-34.5846;-60.9589;66141
La Paz;Argentina;-33.4661;-67.55;4400
La Plata;Argentina;-34.9096;-57.96;440388
La Rioja;Argentina;-29.41;-66.85;147130
Las Heras;Argentina;-32.825;-68.8017;66663
Las Lajas;Argentina;-38.5163;-70.3666;1218
Las Lomitas;Argentina;-24.6996;-60.6;7683
Las Plumas;Argentina;-43.4163;-67.25;605
Libertador General San Martin;Argentina;-23.8195;-64.79;47559
Lincoln;Argentina;-34.88;-61.5399;19924
Lobos;Argentina;-35.1849;-59.0947;18278
Los Blancos;Argentina;-23.5996;-62.6;1145
Lujan;Argentina;-34.5796;-59.11;69744
Malargue;Argentina;-35.4661;-69.5833;11847
Mar de Ajo;Argentina;-36.7162;-56.6766;13610
Mar del Plata;Argentina;-38;-57.58;554916
Mendoza;Argentina;-32.8833;-68.8166;827815
Mercedes;Argentina;-34.66;-59.44;48408
Monte Quemado;Argentina;-25.7996;-62.8666;11387
Necochea;Argentina;-38.56;-58.75;70562
Neuquen;Argentina;-38.95;-68.06;213823
Nueve de Julio;Argentina;-35.446;-60.89;26716
Olavarria;Argentina;-36.9;-60.33;65059
Pampa del Infierno;Argentina;-26.5166;-61.1666;2921
Parana;Argentina;-31.7333;-60.5333;226852
Paso Rio Mayo;Argentina;-45.6834;-70.2666;1825
Pedro Luro;Argentina;-39.4833;-62.6833;7100
Pergamino;Argentina;-33.8996;-60.57;71448
Perito Moreno;Argentina;-46.6;-70.9334;3766
Posadas;Argentina;-27.3578;-55.8851;334589
Presidencia Roque Saenz Pena;Argentina;-26.79;-60.45;75958
Puerto Deseado;Argentina;-47.75;-65.9;3305
Puerto Madryn;Argentina;-42.77;-65.04;61159
Puerto San Julian;Argentina;-49.3;-67.7167;2347
Punta Alta;Argentina;-38.88;-62.08;55969
Rafaela;Argentina;-31.25;-61.5;69649
Rawson;Argentina;-43.3;-65.1;25062
Reconquista;Argentina;-29.1395;-59.65;86640
Resistencia;Argentina;-27.46;-58.99;368455
Rinconada;Argentina;-22.4329;-66.1666;6209
Rio Colorado;Argentina;-38.9666;-64.0833;11499
Rio Cuarto;Argentina;-33.13;-64.35;135959
Rio Gallegos;Argentina;-51.6333;-69.2166;77183
Rio Grande;Argentina;-53.7914;-67.699;31095
Rio Tercero;Argentina;-32.1796;-64.12;38049
Rodeo;Argentina;-30.2156;-69.14;701
Rosario;Argentina;-32.9511;-60.6663;1094784
Salta;Argentina;-24.7834;-65.4166;484646
San Antonio Oeste;Argentina;-40.7329;-64.9333;8492
San Antonio de los Cobres;Argentina;-24.1829;-66.35;4000
San Carlos de Bariloche;Argentina;-41.15;-71.3;91953
San Francisco;Argentina;-31.43;-62.09;43231
San Juan;Argentina;-31.55;-68.52;433892
San Justo;Argentina;-30.7829;-60.5833;9607
San Lorenzo;Argentina;-28.12;-58.77;25833
San Luis;Argentina;-33.3;-66.35;308146
San Martin;Argentina;-33.07;-68.49;99974
San Miguel de Tucuman;Argentina;-26.816;-65.2166;678803
San Nicolas;Argentina;-33.33;-60.24;117123
San Pedro;Argentina;-24.2196;-64.87;55249
San Rafael;Argentina;-34.6;-68.3333;79523
San Ramon de la Nueva Oran;Argentina;-23.14;-64.32;69461
San Salvador de Jujuy;Argentina;-24.1833;-65.3;258739
Santa Fe;Argentina;-31.6239;-60.69;393504
Santa Rosa;Argentina;-36.62;-64.3;97693
Santiago del Estero;Argentina;-27.7833;-64.2667;317549
Sarmiento;Argentina;-45.6;-69.0833;5185
Sierra Colorado;Argentina;-40.5829;-67.8;1522
Sunchales;Argentina;-30.9329;-61.5666;12655
Susques;Argentina;-23.4167;-66.4833;1093
Tandil;Argentina;-37.32;-59.15;84799
Tartagal;Argentina;-22.55;-63.81;59996
Telsen;Argentina;-42.3996;-66.95;493
